id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,103.3,106.7,100.2,
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,,,,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,57.1,56.8,57.40000000000001,1.3
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,71.5,71.60000000000001,71.5,
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,91,91.2,90.80000000000001,
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,102.5,105.8,99.5,.8
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,87.30000000000001,89.60000000000001,85.30000000000001,
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,,,,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,74.60000000000001,77.2,72.2,1.2
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,73.5,76.10000000000001,71.2,
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,5.600000000000001,6.5,4.800000000000001,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,132.3,136.2,128.7,2.9
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,112.1,114.6,109.7,
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,,,,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,105.2,106.2,104.2,.1
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,98.80000000000001,99.7,97.90000000000001,
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,,,,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,75.90000000000001,81.10000000000001,71,.7000000000000001
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,97.30000000000001,99.2,95.5,
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,136,131.3,140.4,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,79.40000000000001,80.2,78.7,1.7
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,81.10000000000001,82.10000000000001,80.10000000000001,
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,84.5,85.90000000000001,83,
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,115.3,121.4,109.4,.9
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,95.40000000000001,97.2,93.7,
