id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,31.5,,,88.5,
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,30.6,,0,66.3,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,41.8,,,77.5,
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,47.7,,,76.2,
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,71.8,,0,71.10000000000001,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,65.7,,,85.80000000000001,
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,66,,,53.40000000000001,
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,66.2,58,16.6,20.2,21.2
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,46.1,,,90.80000000000001,
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,44.6,,,88.80000000000001,
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,36.8,,0,77.5,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,40.2,,,82.7,
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,40,,,80.7,
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,34.8,,0,36.5,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,35,,,86.5,
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,35,,,82.30000000000001,
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,34.9,,0,56.40000000000001,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,44.1,,,66.5,
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,44.2,,,62.8,
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,45.2,,0,10.5,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,59.40000000000001,,,74.90000000000001,
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,61.8,,,68.2,
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,65.8,,0,57.1,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,61,,,78,
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,63.5,,,71.90000000000001,
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,68.10000000000001,,0,61.1,
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,61.6,,,55.8,
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,63.8,,,37,
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,65.10000000000001,,0,25.9,
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,58.90000000000001,,,66.5,
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,61.6,,,48.8,
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,65.3,,0,23.5,
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,24.4,,,73.40000000000001,
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,26.4,,,70,
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,39.3,,0,48.2,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,37.6,,,77.80000000000001,
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,38.2,,,70.7,
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,43.7,,0,13.9,
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,44.3,,,81.90000000000001,
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,50.5,,,73.40000000000001,
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,77.7,,0,35.5,
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,50.7,,,66.10000000000001,
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,55.40000000000001,,,44.90000000000001,
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,59,,0,28.1,
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,63.7,,,62.40000000000001,
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,78.7,,,16.7,
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,82.7,80.2,23.1,4.5,3.7
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,46.90000000000001,,,82.90000000000001,
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,49.8,,,60.5,
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,54.1,,0,25.9,
3_15_285_0,2011,Rural,3,India,15,Mizoram,285,Serchhip,41.8,,,77.2,
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,42.8,,,54.6,
3_15_285_0,2011,Urban,3,India,15,Mizoram,285,Serchhip,43.8,,0,31.9,
3_15_286_0,2011,Rural,3,India,15,Mizoram,286,Lunglei,46.3,,,87.2,
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,57.40000000000001,,,54.7,
3_15_286_0,2011,Urban,3,India,15,Mizoram,286,Lunglei,72.40000000000001,,0,10.8,
3_15_287_0,2011,Rural,3,India,15,Mizoram,287,Lawngtlai,45.1,,,86.80000000000001,
