id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,1.9,,34,,98.30000000000001,100,18.1,.094
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,4,,8.5,,,,,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,2.1,,21.9,,49.90000000000001,47.2,66.3,2.147
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,2.1,,21.9,,49.90000000000001,47.2,66.3,2.147
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3.2,,18.7,,35.7,40.7,75,4.713
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,3.2,,18.7,,35.7,40.7,75,4.713
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,7.2,,6.600000000000001,,5.300000000000001,26.9,91.60000000000001,8.837
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,7.2,,6.600000000000001,,5.300000000000001,26.9,91.60000000000001,8.837
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,.9,,26,,35,33,79.30000000000001,6.881
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,.9,,26,,35,33,79.30000000000001,6.881
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,2.1,,21.9,,32.4,29.7,82.2,6.36
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,2.1,,21.9,,32.4,29.7,82.2,6.36
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,6.2,2.6,8.5,16.3,22.4,16.8,89,3.496
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,6.2,2.6,8.5,16.3,22.4,16.8,89,3.496
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,.6000000000000001,,51,,77.90000000000001,77.90000000000001,48.90000000000001,.9370000000000001
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,.6000000000000001,,51,,77.90000000000001,77.90000000000001,48.90000000000001,.9370000000000001
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,.7000000000000001,,49.90000000000001,,77.90000000000001,77.90000000000001,48.90000000000001,.9370000000000001
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,.7000000000000001,,49.90000000000001,,77.90000000000001,77.90000000000001,48.90000000000001,.9370000000000001
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,1.7,,14.2,,,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,1.7,,14.2,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,.1,,62.7,,100,100,33.7,.324
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,.6000000000000001,,56.3,,97.2,100,34.7,.321
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,3.4,4.2,14.8,12.8,87.60000000000001,100,36.4,.286
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,.9,,31.5,,100,100,22.1,.084
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,2.6,,25.3,,95.5,97.30000000000001,31,.495
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,6.800000000000001,8.1,10.2,3.2,86.5,91.90000000000001,35.8,1.157
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,.8,,38.5,,100,100,29.4,.168
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,1.4,,34,,97.40000000000001,100,36.5,.262
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,4.5,5.100000000000001,10.9,9.700000000000001,90.90000000000001,100,49.8,.495
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,.6000000000000001,,35.4,,100,100,37.4,.305
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,1.3,,30.7,,96.90000000000001,100,41.2,.334
