id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,103.6,98,96.80000000000001,77.60000000000001,2.4,75.2
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,103.2,97.80000000000001,96,77.5,2.3,75.10000000000001
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,88.2,91.7,78.10000000000001,73,1.5,71.60000000000001
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,81.40000000000001,82.2,75.5,52.1,3.8,48.3
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,81.30000000000001,83.2,81.7,50.7,3.8,47
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,81.2,85.7,100,47.6,3.6,44
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,94.10000000000001,96.40000000000001,83.80000000000001,60.6,4.800000000000001,55.8
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,94.10000000000001,96.40000000000001,83.80000000000001,60.6,4.800000000000001,55.8
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,92.80000000000001,95.2,84.10000000000001,57.90000000000001,4.2,53.7
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,92.80000000000001,95.2,84.10000000000001,57.90000000000001,4.2,53.7
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,87.80000000000001,88.60000000000001,85.7,48.40000000000001,2,46.40000000000001
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,87.80000000000001,88.60000000000001,85.7,48.40000000000001,2,46.40000000000001
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,92.10000000000001,95.40000000000001,98.5,66,5.2,60.8
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,92.10000000000001,95.40000000000001,98.5,66,5.2,60.8
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,91.2,96.10000000000001,99.80000000000001,61.8,4.600000000000001,57.1
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,91.2,96.10000000000001,99.80000000000001,61.8,4.600000000000001,57.1
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,88.2,99.90000000000001,105.9,48.5,2.8,45.7
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,88.2,99.90000000000001,105.9,48.5,2.8,45.7
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,85.5,102.2,120,65.60000000000001,6.600000000000001,59.1
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,85.5,102.2,120,65.60000000000001,6.600000000000001,59.1
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,83.90000000000001,102.2,121.3,64.7,6.300000000000001,58.40000000000001
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,83.90000000000001,102.2,121.3,64.7,6.300000000000001,58.40000000000001
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,57.1,103.2,200,46.7,1.2,45.5
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,57.1,103.2,200,46.7,1.2,45.5
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,90.2,92,90,65.7,5.5,60.2
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,89.90000000000001,92.60000000000001,91.5,65,5.100000000000001,59.8
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,88.40000000000001,96.7,101.5,60.1,2.7,57.40000000000001
