id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,road_lng_t,road_lng_h,road_lng_r,road_lng_o,road_int_t,road_int_h,road_int_r,road_int_o,station_nmb_t,station_nmb_r,station_nmb_m,station_den_t,station_den_r,station_den_m
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,3.8,3.8,0,0,122,122,0,0,0,0,0,0,0,0
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,166,125,41.8,0,61.5,46.1,15.5,0,0,0,0,0,0,0
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,172,131,41.8,0,63.6,48.2,15.4,0,0,0,0,0,0,0
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,6.100000000000001,6.100000000000001,0,0,805,805,0,0,0,0,0,0,0,0
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,9.5,0,9.5,0,1.3,0,1.3,0,0,0,0,0,0,0
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,9.5,0,9.5,0,1.3,0,1.3,0,0,0,0,0,0,0
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,134,57.7,76.10000000000001,0,14.4,6.2,8.200000000000001,0,0,0,0,0,0,0
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,139,60.5,78.2,0,14.9,6.5,8.4,0,0,0,0,0,0,0
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,5,2.8,2.1,0,368,210,158,0,0,0,0,0,0,0
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,169,131,19.8,19,46.1,35.5,5.4,5.2,0,0,0,0,0,0
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,169,131,19.8,19,46.1,35.5,5.4,5.2,0,0,0,0,0,0
