spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_29_582_0,Karnataka,Chikkaballapura,Karnataka,Chikkaballapura,3_29_581_0,Kolar split 2007,Chikkaballapur district split from Kolar
3_29_570_0,Karnataka,Chikmagalur,Karnataka,Chikmagalur,3_29_570_0,,NA
3_29_566_0,Karnataka,Chitradurga,Karnataka,Chitradurga,3_29_566_0,,NA
3_29_575_0,Karnataka,Dakshina Kannada,Karnataka,Dakshina Kannada,3_29_575_0,,NA
3_29_567_0,Karnataka,Davanagere,Karnataka,Davanagere,3_29_567_0,Chitradurga split 1997,NA
3_29_562_0,Karnataka,Dharwad,Karnataka,Dharwad,3_29_562_0,,NA
3_29_561_0,Karnataka,Gadag,Karnataka,Gadag,3_29_561_0,Dharwad split 1997,NA
3_29_579_0,Karnataka,Gulbarga,Karnataka,Gulbarga,3_29_579_0,,NA
3_29_574_0,Karnataka,Hassan,Karnataka,Hassan,3_29_574_0,,NA
3_29_564_0,Karnataka,Haveri,Karnataka,Haveri,3_29_564_0,Dharwad split,NA
3_29_576_0,Karnataka,Kodagu,Karnataka,Kodagu,3_29_576_0,,NA
3_29_581_0,Karnataka,Kolar,Karnataka,Kolar,3_29_581_0,,Chikkaballapur district split from Kolar
3_29_560_0,Karnataka,Koppal,Karnataka,Koppal,3_29_560_0,Raichur split,NA
3_29_573_0,Karnataka,Mandya,Karnataka,Mandya,3_29_573_0,,NA
3_29_577_0,Karnataka,Mysore,Karnataka,Mysore,3_29_577_0,,NA
3_29_559_0,Karnataka,Raichur,Karnataka,Raichur,3_29_559_0,,NA
3_29_584_0,Karnataka,Ramanagara,Karnataka,Ramanagara,3_29_583_0,Bangalore Rural split 2007,Ramanagara district split from Bangalore Rural
3_29_568_0,Karnataka,Shimoga,Karnataka,Shimoga,3_29_568_0,,NA
3_29_571_0,Karnataka,Tumkur,Karnataka,Tumkur,3_29_571_0,,NA
3_29_569_0,Karnataka,Udupi,Karnataka,Udupi,3_29_569_0,Dakshina Kannada split 1997,NA
3_29_563_0,Karnataka,Uttara Kannada,Karnataka,Uttara Kannada,3_29_563_0,,NA
3_32_598_0,Kerala,Alappuzha,Kerala,Alappuzha,3_32_598_0,,NA
3_32_595_0,Kerala,Ernakulam,Kerala,Ernakulam,3_32_595_0,,NA
3_32_596_0,Kerala,Idukki,Kerala,Idukki,3_32_596_0,,NA
3_32_589_0,Kerala,Kannur,Kerala,Kannur,3_32_589_0,,NA
3_32_588_0,Kerala,Kasaragod,Kerala,Kasaragod,3_32_588_0,,NA
3_32_600_0,Kerala,Kollam,Kerala,Kollam,3_32_600_0,,NA
3_32_597_0,Kerala,Kottayam,Kerala,Kottayam,3_32_597_0,,NA
3_32_591_0,Kerala,Kozhikode,Kerala,Kozhikode,3_32_591_0,,NA
3_32_592_0,Kerala,Malappuram,Kerala,Malappuram,3_32_592_0,,NA
3_32_593_0,Kerala,Palakkad,Kerala,Palakkad,3_32_593_0,,NA
3_32_599_0,Kerala,Pathanamthitta,Kerala,Pathanamthitta,3_32_599_0,,NA
3_32_601_0,Kerala,Thiruvananthapuram,Kerala,Thiruvanantha- puram,3_32_601_0,,NA
3_32_594_0,Kerala,Thrissur,Kerala,Thrissur,3_32_594_0,,NA
3_32_590_0,Kerala,Wayanad,Kerala,Wayanad,3_32_590_0,,NA
3_31_587_0,Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep,3_31_587_0,,NA
3_23_467_0,Madhya Pradesh,Burhanpur,Madhya Pradesh,(Khandwa) Burhampur,NA,Khandwa split 2003,NA
3_23_441_0,Madhya Pradesh,Barwani,Madhya Pradesh,(Khargoan) Barwani,NA,West Nimar split 1998,NA
3_23_461_0,Madhya Pradesh,Anuppur,Madhya Pradesh,Anuppur,3_23_460_0,Shahdol split 2003,Anuppur district split from Shahdol
3_23_459_0,Madhya Pradesh,Ashoknagar,Madhya Pradesh,Ashoknagar,3_23_459_0,Guna split 2003,NA
3_23_457_0,Madhya Pradesh,Balaghat,Madhya Pradesh,Balaghat,3_23_457_0,,NA
3_23_447_0,Madhya Pradesh,Betul,Madhya Pradesh,Betul,3_23_447_0,,NA
3_23_420_0,Madhya Pradesh,Bhind,Madhya Pradesh,Bhind,3_23_420_0,,NA
3_23_444_0,Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,3_23_444_0,,NA
3_23_425_0,Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,3_23_425_0,,NA
