id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_17_299_0,2001,Rural,3,India,17,Meghalaya,299,Jaintia Hills,13.1
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,17.2
3_17_299_0,2001,Urban,3,India,17,Meghalaya,299,Jaintia Hills,56.3
3_18_300_0,2001,Rural,3,India,18,Assam,300,Kokrajhar,7.800000000000001
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,11.4
3_18_300_0,2001,Urban,3,India,18,Assam,300,Kokrajhar,45.7
3_18_301_0,2001,Rural,3,India,18,Assam,301,Dhubri,7.800000000000001
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,11.4
3_18_301_0,2001,Urban,3,India,18,Assam,301,Dhubri,45.7
3_18_302_0,2001,Rural,3,India,18,Assam,302,Goalpara,13.2
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,16.1
3_18_302_0,2001,Urban,3,India,18,Assam,302,Goalpara,45.3
3_18_303_0,2001,Rural,3,India,18,Assam,303,Barpeta,13.9
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,16.7
3_18_303_0,2001,Urban,3,India,18,Assam,303,Barpeta,48.3
3_18_304_0,2001,Rural,3,India,18,Assam,304,Morigaon,10.1
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,12
3_18_304_0,2001,Urban,3,India,18,Assam,304,Morigaon,40.3
3_18_305_0,2001,Rural,3,India,18,Assam,305,Nagaon,12.2
3_18_305_0,2001,Total,3,India,18,Assam,305,Nagaon,16.5
3_18_305_0,2001,Urban,3,India,18,Assam,305,Nagaon,45
3_18_306_0,2001,Rural,3,India,18,Assam,306,Sonitpur,16.7
3_18_306_0,2001,Total,3,India,18,Assam,306,Sonitpur,21.2
3_18_306_0,2001,Urban,3,India,18,Assam,306,Sonitpur,60.90000000000001
3_18_307_0,2001,Rural,3,India,18,Assam,307,Lakhimpur,16.5
3_18_307_0,2001,Total,3,India,18,Assam,307,Lakhimpur,19.3
3_18_307_0,2001,Urban,3,India,18,Assam,307,Lakhimpur,48
3_18_308_0,2001,Rural,3,India,18,Assam,308,Dhemaji,10.7
3_18_308_0,2001,Total,3,India,18,Assam,308,Dhemaji,13
3_18_308_0,2001,Urban,3,India,18,Assam,308,Dhemaji,39.2
3_18_309_0,2001,Rural,3,India,18,Assam,309,Tinsukia,20.2
3_18_309_0,2001,Total,3,India,18,Assam,309,Tinsukia,27.6
3_18_309_0,2001,Urban,3,India,18,Assam,309,Tinsukia,55.1
3_18_310_0,2001,Rural,3,India,18,Assam,310,Dibrugarh,20.9
3_18_310_0,2001,Total,3,India,18,Assam,310,Dibrugarh,30.1
3_18_310_0,2001,Urban,3,India,18,Assam,310,Dibrugarh,66.7
3_18_311_0,2001,Rural,3,India,18,Assam,311,Sivasagar,23.6
3_18_311_0,2001,Total,3,India,18,Assam,311,Sivasagar,27.5
3_18_311_0,2001,Urban,3,India,18,Assam,311,Sivasagar,60.6
3_18_312_0,2001,Rural,3,India,18,Assam,312,Jorhat,28.3
3_18_312_0,2001,Total,3,India,18,Assam,312,Jorhat,35.3
3_18_312_0,2001,Urban,3,India,18,Assam,312,Jorhat,66.3
3_18_313_0,2001,Rural,3,India,18,Assam,313,Golaghat,17.4
3_18_313_0,2001,Total,3,India,18,Assam,313,Golaghat,20.3
3_18_313_0,2001,Urban,3,India,18,Assam,313,Golaghat,50.5
