distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
905,3_9_136_0,3_9_136_0,Rampur,Uttar Pradesh,Rampur,Uttar Pradesh,Raopur,Uttar Pradesh,Rampur,NA,Uttar Pradesh,Rampur,79.11047001,28.80782569,176.56485980946758,183.02390056300473,109.15839326119433,175.84116840488264,not nodal
906,3_9_137_0,3_9_137_0,Jyotiva Phule Nagar,Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh,J. Phule Nagar,NA,Uttar Pradesh,Jyotiba Phule Nagar,78.33361344,28.80591027,102.92903562851146,107.92656531081637,71.95396245095127,107.90444611095964,not nodal
907,3_9_138_0,3_9_138_0,Meerut,Uttar Pradesh,Meerut,Uttar Pradesh,Meerut,Uttar Pradesh,Meerut,NA,Uttar Pradesh,Meerut,77.7825536,29.03654617,68.10721385337284,66.04000087248927,68.4614931530167,71.97921403205147,not nodal
909,3_9_140_0,3_9_140_0,Ghaziabad,Uttar Pradesh,Ghaziabad,Uttar Pradesh,Ghaziabad,Uttar Pradesh,Ghaziabad,NA,Uttar Pradesh,Ghaziabad,77.69930289,28.74378534,43.667391544385104,46.032901734009045,36.007984490086095,49.55084909054248,not nodal
910,3_9_141_0,3_9_141_0,Gautam Buddha Nagar,Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh,Gautam Budh Nagar,Uttar Pradesh,G. Buddha Nagar,NA,Uttar Pradesh,Gautam Buddha Nagar,77.53794545,28.41405505,19.511299338708213,37.03685294735679,3.6165644769287266,18.941919718271645,nodal
913,3_9_144_0,3_9_144_0,Hathras,Uttar Pradesh,Mahamaya Nagar,Uttar Pradesh,Hathras,Uttar Pradesh,Hathras,NA,Uttar Pradesh,Mahamaya Nagar,78.15816483,27.58059757,38.031749082665385,47.288201964518855,55.23406150350947,31.69172762987974,not nodal
914,3_9_145_0,3_9_145_0,Mathura,Uttar Pradesh,Mathura,Uttar Pradesh,Mathura,Uttar Pradesh,Mathura,NA,Uttar Pradesh,Mathura,77.62778739,27.59990178,3.4776878168867023,60.32410819259487,78.80518016960077,14.195803547864456,not nodal
915,3_9_146_0,3_9_146_0,Agra,Uttar Pradesh,Agra,Uttar Pradesh,Agra,Uttar Pradesh,Agra,NA,Uttar Pradesh,Agra,78.07356894,27.03814779,18.05081190284419,7.532909185015651,112.14010879767598,2.916959542997848,not nodal
919,3_9_149_0,3_9_149_0,Budaun,Uttar Pradesh,Budaun,Uttar Pradesh,Budaun,Uttar Pradesh,Budaun,NA,Uttar Pradesh,Budaun,78.93338663,28.11204426,116.7519907121655,138.35061115198025,33.527362878259275,126.21137742082986,not nodal
920,3_9_150_0,3_9_150_0,Bareilly,Uttar Pradesh,Bareilly,Uttar Pradesh,Bareilly,Uttar Pradesh,Bareilly,NA,Uttar Pradesh,Bareilly,79.43221788,28.45193211,170.3565042644438,199.43019225997904,90.33621927416979,186.65457255017117,not nodal
